,Values
0,0.0004562697844734246
1,0.006805260720085897
2,0.015932600520132723
3,0.005672505148742086
4,0.024246627941504343
5,0.701836198671157
6,0.00022146364073397608
7,3.888937415059772e-05
8,0.16506367682232592
9,0.0006844208159105812
10,0.0043577317080273625
11,0.015376958428777652
12,0.05573937930320868
13,0.0035680171207699745
