,HorseName,Score
0,EVERYONE'S DELIGHT,0.012147791273550269
1,YELLOWFIN,0.16594154372517309
2,OUTGATE,0.010927291442200903
3,ADEFILL,0.1979831536860946
4,PERFECT TEAM,0.01684933391711642
5,LOYAL BABY,0.03886955444610791
6,SELF IMPROVEMENT,0.027721026924026382
7,ROMANTIC CHARM,0.03328361468799972
8,SO WE JOY,0.006928316735575037
9,FRANTANCK,0.053016306878604785
10,ABSOLUTE SUNSHINE,0.006711950212769618
11,NORDIC STAR,0.03272280620484869
12,MIGHTY ARMOUR,0.005460204450548917
13,SEIZING THE MOMENT,0.0016336634303029966
