,HorseName,HorseName_cn,Jockey,Trainer,Score
0,YOUNG SUPERSTAR,競駿先鋒,M Chadwick,A S Cruz,0.07644964467189828
1,SUPER LEGENDS,非凡達,H T Mo,C S Shum,0.010806059523332258
2,CHATEAUNEUF,飲杯,H Bowman,D A Hayes,0.10024108032754128
3,LUCKY EIGHT,運高八斗,J McDonald,P F Yiu,0.13302440362992807
4,PAKISTAN LEGACY,巴基之勝,L Ferraris,W Y So,0.08247100629848694
5,KING MILES,安康萬里,K De Melo,K W Lui,0.02390637763154062
6,SMART TRIO,常多笑,M L Yeung,C W Chang,0.03840632916349892
7,LIFELINE EXPRESS,健康快車,A Atzeni,J Size,0.11117411738470125
8,LO PAN SPIRIT,魯班精神,H Bentley,K H Ting,0.0667911937129614
9,TRIUMPHANT MORE,凱旋升,A Badel,F C Lor,0.10046666638666825
10,EVERSTAR,廚神,B Thompson,Y S Tsui,0.013352967255062164
11,FUN ELITE,中環精英,L Hewitson,T P Yung,0.07793677130449693
12,IGOT,愛國者,C L Chau,C H Yip,0.06038262449728302
13,YEE CHEONG GLORY,怡昌光輝,K Teetan,J Richards,0.10459075821260064
