,HorseName,HorseName_cn,Jockey,Trainer,Score
4,HAROLD WIN,哈羅威,C L Chau,K W Lui,0.3612470896193839
0,BRILLIANT EXPRESS,神馳,H Bowman,J Size,0.3383507957960973
2,EVERYONE'S STAR,大眾福星,Z Purton,F C Lor,0.12219791446649673
