,HorseName,HorseName_cn,Jockey,Trainer,Score
0,CHARMING BABE,輕功猛男,J Orman,P F Yiu,0.40877598152424943
1,NATURAL HIGH,贏得自然,K Teetan,D J Hall,0.3348729792147806
2,HEROIC MASTER,英雄豪邁,L Ferraris,F C Lor,0.2270977675134719
3,MONARCH COUNTY,仁仁有餘,H Bowman,C Fownes,0.46882217090069284
4,MY DAY MY WAY,好節拍,C L Chau,C S Shum,0.3202463433410316
5,FORTUNE WARRIOR,運來勇士,A Atzeni,D Eustace,0.27867590454195534
6,NEW POWER,新力,M L Yeung,C W Chang,0.36181678214010776
7,FLYING WROTE,東來欣賞,M F Poon,A S Cruz,0.2201693610469592
8,GOLDEN FRIENDSHIP,友得盈,H Bentley,K H Ting,0.15011547344110854
9,TELECOM POWER,電訊驕陽,A Badel,Y S Tsui,0.38414164742109314
10,BLING BLING GENIUS,金鑽精靈,A Hamelin,D J Whyte,0.2178598922247883
11,COLONEL,上校,B Thompson,J Richards,0.17090069284064666
