,Values
0,0.054125797844279455
1,0.6932924107802921
2,0.00016294382020469138
3,0.03624940965625317
4,0.07733690804229704
5,0.009767510981436054
6,0.02787618023191367
7,3.7947950946040534e-06
8,0.00011249221826034543
9,0.00809177018685694
10,0.005901918806227491
11,0.007468216493678997
12,0.0033342021309798204
13,0.07627644401222572
