,HorseName,HorseName_cn,Jockey,Trainer,Score
0,MOTOMAN,競馬一心,Z Purton,P C Ng,0.5166666666666667
1,HAYDAY,千杯敬典,E C W Wong,P F Yiu,0.1
2,ORIENTAL SURPRISE,東方魅影,B Thompson,D A Hayes,0.11666666666666667
3,YEE CHEONG SPIRIT,怡昌精神,J McDonald,C S Shum,0.20833333333333334
4,TELECOM DRAGON,電訊龍駒,H Bowman,C H Yip,0.4083333333333333
5,THE PRIME,質數,L Hewitson,J Richards,0.13333333333333333
6,LUCKY PLANET,幸運星球,L Ferraris,D J Whyte,0.24166666666666667
7,LOVING VIBES,天下寵兒,C Y Ho,K W Lui,0.225
8,FUN N GLORY,超悅明駒,B Avdulla,D J Hall,0.15833333333333333
9,SKY SONG,賢心星,K De Melo,C Fownes,0.075
10,SPICY SO SMART,辣得駕勢,M Chadwick,W K Mo,0.225
11,MIU FA FA,妙芳華,M F Poon,F C Lor,0.10833333333333334
