,HorseName,HorseName_cn,Jockey,Trainer,Score
0,TRIUMPHANT WARRIOR,城中勇士,Z Purton,C S Shum,0.325635103926097
1,WINNING HEART,三代同心,A Badel,A S Cruz,0.3641262509622787
2,TOGEPI,小刺蛋,H Bentley,W K Mo,0.32255581216320245
3,MODEST GENTLEMAN,謙謙君子,A Atzeni,C H Yip,0.25789068514241725
4,RAGNARR,快樂奇兵,J Orman,D J Hall,0.3102386451116243
5,SUPER EAGLE,宏才,M Chadwick,W Y So,0.19784449576597382
6,SO AWESOME,進優自在,H Bowman,K L Man,0.4980754426481909
7,EVER SMART,有心意,L Ferraris,F C Lor,0.17936874518860663
8,THE PRIME,質數,L Hewitson,J Richards,0.14318706697459585
9,WOODFIRE CHAMP,木火龍駒,K C Leung,C W Chang,0.18090839107005388
10,ALMIGHTY KICK,好瑪威威,K De Melo,K W Lui,0.15935334872979215
11,MULTIDARLING,萬事靚,K Teetan,T P Yung,0.380292532717475
