,HorseName,HorseName_cn,Jockey,Trainer,Score
4,BEAUTY BOLT,美麗星晨,Z Purton,A S Cruz,0.6187936236722945
0,WINNING GOLD,金勝名駒,R Kingscote,W Y So,0.06567631873933392
13,FORTUNE BOY,火焰閃爍,K Teetan,D A Hayes,0.061075450382034824
