Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/10/26,1,MOTOR,馬達,K C Leung,梁家俊,135,1180,4,W K Mo,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,35,1,PPG,60,60,3
1,2025/10/26,2,ALABAMA SONG,豐功偉績,B Avdulla,艾道拿,134,1179,5,J Size,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,113,0,PPG,59,62,3
2,2025/10/26,3,EVER LUCK,大愛無疆,J Orman,奧爾民,127,1113,14,M Newnham,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,300,0,PPG,52,94,3
3,2025/10/26,4,FOREST KING,金絲楠木,C L Chau,周俊樂 (-2),127,1155,3,C H Yip,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,300,0,PPG,52,100,3
4,2025/10/26,5,FOREVER FANCY,一路精彩,D Probert,潘大衛,127,1198,7,K W Lui,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,300,0,PPG,52,102,3
5,2025/10/26,6,GEORGIAN SIGMA,佐治傳奇,Z Purton,潘頓,127,1087,8,P C Ng,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,300,0,PPG,52,108,3
6,2025/10/26,7,SUPER MASTERMIND,超智多寶,H Bowman,布文,127,1194,13,J Richards,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,300,0,PPG,52,203,3
7,2025/10/26,8,WINNING CHAMPION,過關勇士,M F Poon,潘明輝,127,997,1,C S Shum,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,35,1,PPG,52,215,3
8,2025/10/26,9,JUST FOLLOW ME,隋我同來,K Teetan,田泰安,126,1142,12,B Crawford,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,35,1,PPG,51,219,3
9,2025/10/26,10,DASHING MAURISON,滿洛城,R Kingscote,金誠剛,125,1024,9,D A Hayes,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,35,1,PPG,50,220,3
10,2025/10/26,11,HYANNIS STAR,星將,A Atzeni,艾兆禮,125,1107,11,D Eustace,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,154,0,PPG,50,222,3
11,2025/10/26,12,MAZING GRACE,知恩圖報,M L Yeung,楊明綸,125,1194,10,C W Chang,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,35,1,PPG,50,224,3
12,2025/10/26,13,ZHOU GONGJIN,美周郎,K De Melo,董明朗,125,1305,6,B Crawford,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,175,0,PPG,50,227,3
13,2025/10/26,14,SPARKLE AND GOLD,神燦金剛,Y L Chung,鍾易禮 (-2),120,1142,2,C H Yip,10,Class 4,1200,Sha Tin,"Turf, ""A"" Course",Good,13:15,35,1,PPG,45,238,3
