,Values
0,0.03433224957840867
1,0.10694515645729497
2,0.19136447393189024
3,0.09960752169756891
4,0.0008688340763926424
5,0.008137782028407906
6,0.0051189434179897296
7,0.004430645532086527
8,0.023320812282761966
9,0.29509454492736314
10,0.0385315719288972
11,0.19201430971906516
12,0.00023315442187282198
