,HorseName,HorseName_cn,Jockey,Trainer,Score
1,PATCH OF STARS,錶之星河,Z Purton,K L Man,0.5608355201504488
5,SKY JOY,天賜喜,C L Chau,P F Yiu,0.2002239181139972
4,STAR RISE,久久為昇,M F Poon,D J Hall,0.0948354911805304
