,HorseName,HorseName_cn,Jockey,Trainer,Score
2,VICTORY CHAMPION,凱旋王者,Z Purton,F C Lor,0.5143006204105469
5,STRANGE ALERT,如蝶翩翩,H Bowman,D Eustace,0.1456914018639749
8,SMART FAT CAT,天蓬貓,K Teetan,W K Mo,0.12819554994853885
