,HorseName,Score
0,DREAM WINNER,0.3250919968565496
1,REWARD SMILE,0.8838638339029018
2,SOVEREIGN FUND,0.26899595011889
3,GOKO WIN,0.15761913520393508
4,SILO,0.3619367855075412
5,PHOENIX LIGHT,0.48487559922511086
6,SUPER JOY N FUN,0.6921089770335724
7,BITS SUPERSTAR,0.16868871456367127
8,GOR MO TUEN,0.08804002364345268
9,MONTA FRUTTA,0.2186353226024091
10,EXCELLENT FIGHTER,0.3644439795228635
11,PACKING HERMOD,0.42988342211738095
12,VIVA GRACIOUSNESS,0.016656972713344015
13,YEAH BUDDY,0.1051873455046432
