horse_no,win,place
1,53,16
2,8.7,2.9
3,11,3.2
4,5.0,1.8
5,4.2,1.6
6,18,4.7
7,20,5.1
8,42,10
9,10,3.1
10,4.7,2.1
11,46,12
12,9.6,2.6
