,HorseName,HorseName_cn,Jockey,Trainer,Score
0,THE HEIR,星運少爵,E C W Wong,C Fownes,0.07224792007639119
1,THUNDER BLINK,同得威,C L Chau,K H Ting,0.06945255584861862
2,MASTER TRILLION,八仟財陞,J Moreira,F C Lor,0.19243263391330637
3,GOOD LUCK BABE,開心五月,K Teetan,D Eustace,0.07718354398974653
4,SUNNY DARLING,陽光寶貝,R Kingscote,P C Ng,0.01585234474566254
5,LEAN MASTER,精益大師,P N Wong,C H Yip,0.04401128097570166
6,FLYING AMANI,威力非凡,M F Poon,D J Hall,0.038588789065534104
7,JOYFUL TREASURE,歡樂飛駒,L Hewitson,K W Lui,0.051626462855678894
8,OCEAN IMPACT,蜜蜜送,T Marquand,D J Whyte,0.019634434697676062
9,SIGHT DREAMER,巧眼光,R Moore,J Size,0.17205110733615095
10,PATCH OF STARS,錶之星河,K C Leung,K L Man,0.05147742049502671
11,LUCKY FIONN,幸運芙蓉,J McDonald,P F Yiu,0.141190415328541
12,DECRELOT,球皇,B Thompson,D A Hayes,0.017410493610974315
13,SPECIAL HEDGE,精算特殊,D McDonogh,T P Yung,0.036840597060990965
