horse_no,win,place
1,17,3.9
2,4.3,2.1
3,14,4.0
4,47,9.2
5,12,4.0
6,59,11
7,13,3.7
8,9.1,3.0
9,4.6,1.8
10,6.8,2.4
11,65,11
12,5.5,1.9
