,HorseName,HorseName_cn,Jockey,Trainer,Score
4,BEAUTY BOLT,美麗星晨,Z Purton,A S Cruz,0.4395180487924669
6,MORGAN SUCCESS,龍城精將,H Bowman,D J Whyte,0.11998814045700991
1,WINNING GOLD,金勝名駒,R Kingscote,W Y So,0.08769176061343294
