,HorseName,HorseName_cn,Jockey,Trainer,Score
2,PACKING PHOENIX,包裝戰將,Z Purton,K W Lui,0.5832877048928476
6,PROUD BOX,洪才,H Bowman,W Y So,0.18134334264495114
0,SPICY STANDARD,辣得準,B Avdulla,J Size,0.06133648331160861
