Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
21/057,2021-07-13,9,13,21,35,38,48,20,,3,3,4,2,1,1,1,2,1,0,0.00,2.5,871120.00,86,67520.00,228.9,9600.00,4556.2,640.00,6179.5,320.00,80840.7,40.00,48664960
21/056,2021-07-10,25,28,34,37,40,49,33,,0,6,3,3,0,0,2,3,1,0,0.00,1.5,1412130.00,33,171160.00,114,9600.00,2369.5,640.00,3912,320.00,50207.6,40.00,39609288
21/055,2021-07-08,7,9,13,27,39,43,42,,3,3,6,0,2,1,1,1,1,0,0.00,0.5,406697.50,68.5,63330.00,141,9600.00,3965.4,640.00,3966.2,320.00,71689.4,40.00,36937249
21/054,2021-07-06,2,6,15,16,26,34,14,,4,2,1,5,2,2,1,1,0,0,0.00,1.5,930270.00,61.5,60500.00,164.5,9600.00,4129.3,640.00,4603.4,320.00,65970.9,40.00,34364266
21/053,2021-07-03,7,9,24,29,37,48,17,24,3,3,4,2,2,0,2,1,1,1,13120260.00,1.5,1137830.00,79.5,57240.00,230,9600.00,4337.2,640.00,6519.5,320.00,76635.7,40.00,41924408
21/052,2021-06-29,10,16,24,39,44,47,28,,3,3,2,4,1,1,1,1,2,0,0.00,1,1640140.00,42.5,102910.00,121.5,9600.00,2082,640.00,3121.5,320.00,41488.5,40.00,31801856
21/051,2021-06-27,2,7,11,27,37,42,28,11,3,3,4,2,2,1,1,1,1,1,26050660.00,1,1717180.00,118,38800.00,336,9600.00,5729.4,640.00,7677.8,320.00,89907.8,40.00,47269835
21/050,2021-06-24,4,11,14,21,38,48,31,,4,2,2,4,1,2,1,1,1,0,0.00,0,0.00,53,95740.00,152,9600.00,3387.3,640.00,4371.4,320.00,62641,40.00,39764355
21/049,2021-06-22,1,5,7,24,26,30,8,,4,2,3,3,3,0,3,0,0,0,0.00,6,203820.00,128.2,25430.00,522,9600.00,5605.8,640.00,11236.7,320.00,86953.1,40.00,41479405
21/048,2021-06-19,4,15,17,32,38,43,30,,3,3,3,3,1,2,0,2,1,0,0.00,0,0.00,37,116630.00,94.5,9600.00,1985.5,640.00,2522.2,320.00,41146.1,40.00,30530545
21/047,2021-06-17,1,25,31,34,42,48,20,,1,5,3,3,1,0,1,2,2,1,37883790.00,2,1233250.00,57,115390.00,170.5,9600.00,3367.5,640.00,4798.5,320.00,68130.3,40.00,48374806
21/046,2021-06-15,3,11,13,22,44,45,4,3,4,2,4,2,1,2,1,0,2,0.5,15242132.50,2.5,1407060.00,117.5,79830.00,353.5,9600.00,7308.7,640.00,10631.8,320.00,130295.1,40.00,78621308
21/045,2021-06-11,2,3,15,29,41,43,7,,3,3,5,1,2,1,1,0,2,0,0.00,3,1184200.00,64,148020.00,247.5,9600.00,4607.5,640.00,7419.4,320.00,92655.9,40.00,69317963
21/044,2021-06-08,7,13,21,24,28,30,10,,4,2,3,3,1,1,4,0,0,0,0.00,5.5,401870.00,141.5,41650.00,483.5,9600.00,6553.7,640.00,11151.7,320.00,112299.8,40.00,61276144
21/043,2021-06-04,2,6,16,22,34,49,45,"6,16",4,2,1,5,2,1,1,1,1,0,0.00,0,0.00,62.5,109780.00,143.5,9600.00,4333.6,640.00,4792.5,320.00,85358.4,40.00,51757606
21/042,2021-06-01,1,6,16,28,33,36,8,,3,3,2,4,2,1,1,2,0,0,0.00,8,180470.00,167.5,22980.00,672.9,9600.00,7024.4,640.00,12411,320.00,100186.2,40.00,48969186
21/041,2021-05-28,5,12,30,43,44,45,21,,2,4,3,3,1,1,1,0,3,0,0.00,0,0.00,38.5,148910.00,161.5,9600.00,2933,640.00,4670.3,320.00,61402.9,40.00,42830097
21/040,2021-05-25,1,7,19,22,27,49,20,,4,2,5,1,2,1,2,0,1,0.5,4951872.50,1,1562650.00,147,28340.00,264,9600.00,6479.2,640.00,6748,320.00,101833.9,40.00,45114491
21/039,2021-05-21,8,14,31,37,44,47,38,,2,4,3,3,1,1,0,2,2,0,0.00,0.5,508537.50,37.5,144650.00,113.5,9600.00,2544,640.00,3606.2,320.00,51331.3,40.00,38568911
21/038,2021-05-18,2,9,26,34,35,36,4,,2,4,2,4,2,0,1,3,0,0,0.00,3,550760.00,61.2,71990.00,149,9600.00,2811.6,640.00,3924.6,320.00,52203.7,40.00,34589888
21/037,2021-05-14,5,14,28,29,31,37,11,31,2,4,4,2,1,1,2,2,0,2,14831010.00,3,609180.00,134,36360.00,279,9600.00,4679.4,640.00,6599.7,320.00,71882.2,40.00,44535503
21/036,2021-05-11,15,22,30,31,35,45,6,22,2,4,4,2,0,1,2,2,1,0.5,11414935.00,0.5,674735.00,91.5,78650.00,223,9600.00,4128.2,640.00,6013.4,320.00,77540.4,40.00,54780065
21/035,2021-05-07,5,8,22,26,40,41,46,8,3,3,2,4,2,0,2,1,1,0,0.00,0.5,606657.50,70.5,91780.00,123.5,9600.00,3723,640.00,3845,320.00,74298.1,40.00,47311439
21/034,2021-05-04,8,9,10,19,38,45,6,9,4,2,3,3,3,1,0,1,1,0,0.00,0,0.00,115.5,33990.00,278,9600.00,4978,640.00,9236.3,320.00,85034.6,40.00,42587540
21/033,2021-04-30,7,9,29,33,36,49,41,,2,4,5,1,2,0,1,2,1,0,0.00,1,1614910.00,85.5,50360.00,143.5,9600.00,4660.2,640.00,4032.5,320.00,79553.5,40.00,38265895
21/032,2021-04-27,2,13,15,19,38,41,30,15,4,2,4,2,1,3,0,1,1,0,0.00,1,1882270.00,46.5,107940.00,110.5,9600.00,2426.7,640.00,3574.4,320.00,48211.9,40.00,36066196
21/031,2021-04-23,15,18,20,23,31,47,12,,4,2,4,2,0,3,1,1,1,0,0.00,2,781530.00,34,122590.00,134,9600.00,2517,640.00,4037.5,320.00,48125,40.00,32528370
21/030,2021-04-20,12,32,40,42,48,49,27,,1,5,1,5,0,1,0,2,3,0,0.00,1.5,925790.00,56,66120.00,113,9600.00,2566.5,640.00,3170,320.00,42269.8,40.00,28900309
21/029,2021-04-16,5,6,17,23,29,38,24,,4,2,4,2,2,1,2,1,0,1,19281120.00,3,532870.00,81,52620.00,209.5,9600.00,4503.1,640.00,5836.3,320.00,75830.1,40.00,39824924
21/028,2021-04-13,7,10,13,14,20,35,49,"7,13,14",5,1,3,3,2,3,0,1,0,0.5,7242640.00,3.5,589580.00,81,67930.00,193,9600.00,5240.5,640.00,5226,320.00,87919.4,40.00,47247039
21/027,2021-04-09,7,9,12,13,14,16,23,7,6,0,3,3,2,4,0,0,0,0,0.00,3,422280.00,166,20350.00,322.5,9600.00,6495.9,640.00,8177.6,320.00,93311.5,40.00,42377097
21/026,2021-04-06,4,7,8,20,22,41,21,,5,1,2,4,3,1,1,0,1,0,0.00,5,278050.00,46,80590.00,279,9600.00,3781.6,640.00,6933.9,320.00,74245.4,40.00,37912073
21/025,2021-04-02,1,2,33,34,42,49,39,,2,4,3,3,2,0,0,2,2,0,0.00,1.5,1059040.00,62.5,67770.00,168.5,9600.00,3415.7,640.00,4046,320.00,61111,40.00,35519840
21/024,2021-03-30,24,26,36,37,41,43,31,"24,26,43",1,5,3,3,0,0,2,2,2,0.5,5021395.00,2,1033390.00,41,134420.00,139,9600.00,2202.9,640.00,4019.4,320.00,46469.2,40.00,38945364
21/023,2021-03-26,6,12,24,26,30,43,20,,3,3,1,5,1,1,3,0,1,0,0.00,3,492660.00,70.7,55740.00,179.5,9600.00,3719.6,640.00,4631.2,320.00,64381,40.00,35164581
21/022,2021-03-23,11,14,16,19,38,41,6,14,4,2,3,3,0,4,0,1,1,0,0.00,0,0.00,34,113820.00,106.5,9600.00,2160.1,640.00,3834.8,320.00,43148.1,40.00,29610245
21/021,2021-03-19,3,8,9,14,23,25,35,,5,1,4,2,3,1,2,0,0,1.5,76287420.00,10.5,774000.00,641.5,33780.00,1018,9600.00,30004.3,640.00,24937.5,320.00,459280.1,40.00,212714434
21/020,2021-03-12,16,17,21,24,43,47,30,43,4,2,4,2,0,2,2,0,2,0,0.00,0.5,1445077.50,163.5,94270.00,371,9600.00,7968,640.00,11684,320.00,163330.5,40.00,113481168
21/019,2021-03-05,1,23,32,38,43,46,5,,2,4,3,3,1,0,1,2,2,0,0.00,0.5,910125.00,66,147090.00,229,9600.00,5333.5,640.00,7283.4,320.00,104035.3,40.00,71804210
21/018,2021-03-02,6,15,16,21,27,28,43,,4,2,3,3,1,2,3,0,0,0,0.00,3,920510.00,147,50090.00,240,9600.00,7215.7,640.00,6550,320.00,117943.7,40.00,62901664
21/017,2021-02-26,14,17,35,37,39,46,2,14,2,4,4,2,0,2,0,3,1,0,0.00,0,0.00,72.5,106100.00,123.5,9600.00,3878.4,640.00,4002.4,320.00,70138,40.00,53494124
21/016,2021-02-23,2,14,18,28,34,44,21,"14,44",3,3,0,6,1,2,1,1,1,0,0.00,0.5,573907.50,72,85020.00,188,9600.00,3726,640.00,5080.6,320.00,71104.6,40.00,47180072
21/015,2021-02-19,4,5,13,14,25,44,16,13,4,2,3,3,2,2,1,0,1,0,0.00,0,0.00,64,84270.00,102.5,9600.00,3583,640.00,4002.7,320.00,65294.8,40.00,40716305
21/014,2021-02-16,3,13,28,30,31,45,22,31,2,4,4,2,1,1,2,1,1,0,0.00,1,1914820.00,69,74000.00,167,9600.00,3483.7,640.00,5017.8,320.00,65713,40.00,40916701
21/013,2021-02-12,6,25,31,36,41,47,10,31,1,5,4,2,1,0,1,2,2,0,0.00,2.5,788650.00,50.5,104110.00,142.5,9600.00,2661.5,640.00,3622.4,320.00,48989.7,40.00,38211618
21/012,2021-02-09,1,2,16,20,31,38,7,16,4,2,2,4,2,2,0,2,0,0,0.00,0,0.00,33.5,108850.00,129.5,9600.00,2132.8,640.00,4302.7,320.00,45215.1,40.00,29280634
21/011,2021-02-05,10,16,22,40,44,45,49,,3,3,1,5,1,1,1,1,2,0.5,2000000.00,1,1276730.00,31.5,108080.00,112.5,9600.00,2231.7,640.00,3097,320.00,38370.3,40.00,26643557
21/010,2021-02-02,18,21,24,26,30,35,48,"30,35",3,3,2,4,0,1,4,1,0,1,63275870.00,0.5,804140.00,88.5,96920.00,271,9600.00,5971.6,640.00,6880,320.00,109346.7,40.00,67710117
21/009,2021-01-29,2,10,30,31,35,46,3,,2,4,2,4,2,0,1,2,1,0,0.00,4,720540.00,52.5,146390.00,209,9600.00,3909.4,640.00,6257.4,320.00,81060.6,40.00,57163282
21/008,2021-01-26,5,9,16,21,44,49,15,"16,21",4,2,4,2,2,1,1,0,2,0,0.00,0.5,609787.50,72,90330.00,157,9600.00,3469,640.00,4933.5,320.00,73180.9,40.00,48338079
21/007,2021-01-22,15,16,18,21,24,31,22,21,5,1,3,3,0,3,2,1,0,0,0.00,1,2014910.00,55,97690.00,173,9600.00,3127,640.00,4761.8,320.00,60796.6,40.00,41442617
21/006,2021-01-19,14,21,22,38,40,45,17,45,3,3,2,4,0,1,2,2,1,0,0.00,2,981510.00,76,68870.00,114.5,9600.00,3598.7,640.00,3327.7,320.00,58483.7,40.00,39236623
21/005,2021-01-15,4,24,39,41,42,45,6,,2,4,3,3,1,0,1,1,3,0,0.00,0,0.00,60,73400.00,112.5,9600.00,3221.8,640.00,3258,320.00,51297.9,40.00,33954469
21/004,2021-01-12,5,19,22,26,35,40,2,"5,19",3,3,3,3,1,1,2,2,0,0.5,7921662.50,0,0.00,63,87160.00,94.5,9600.00,2742.8,640.00,4024.1,320.00,53205.2,40.00,39195164
21/003,2021-01-08,5,19,29,32,33,34,43,,2,4,4,2,1,1,1,3,0,0,0.00,2,817950.00,51.5,84700.00,137.5,9600.00,2874.5,640.00,4253,320.00,55168.5,40.00,34652069
21/002,2021-01-05,22,24,30,36,38,46,33,46,2,4,0,6,0,0,3,2,1,0,0.00,2.5,644110.00,36.5,117640.00,156.2,9600.00,2290.7,640.00,4542.6,320.00,44906.1,40.00,33356224
21/001,2021-01-02,3,9,14,21,45,46,34,,4,2,4,2,2,1,1,0,2,0.5,7382830.00,0.5,502167.50,46,116440.00,114.5,9600.00,2723.5,640.00,3602.5,320.00,54484.5,40.00,38685150
20/030,2020-12-29,10,11,24,39,41,42,22,"24,41",3,3,3,3,1,1,1,1,2,0,0.00,4,427430.00,51,89390.00,130.5,9600.00,2675.5,640.00,3834.7,320.00,52970.7,40.00,34882554
20/029,2020-12-25,14,18,24,27,28,41,45,,3,3,2,4,0,2,3,0,1,0,0.00,0,0.00,39.5,103500.00,63.5,9600.00,2158.2,640.00,2878.7,320.00,45428.5,40.00,29557188
20/028,2020-12-22,11,20,36,37,39,48,21,11,2,4,3,3,0,2,0,3,1,0,0.00,1,1414530.00,30,125730.00,85.5,9600.00,1446.2,640.00,2327.2,320.00,31431.5,40.00,26131837
20/027,2020-12-18,8,11,12,23,34,49,28,11,4,2,3,3,1,2,1,1,1,0,0.00,1,766250.00,64,31920.00,149,9600.00,2917.9,640.00,4091.9,320.00,48694,40.00,22534419
20/026,2020-12-15,2,11,13,20,21,33,14,11,5,1,4,2,1,3,1,1,0,1,8000000.00,3.5,245280.00,100,22890.00,121.5,9600.00,3517,640.00,3497.8,320.00,54750.5,40.00,24103839
20/025,2020-12-11,1,11,23,29,41,46,44,,3,3,5,1,1,1,2,0,2,1,13089780.00,0.5,322195.00,33.5,102590.00,98,9600.00,2455.6,640.00,3091,320.00,46635.4,40.00,27423312
20/024,2020-12-08,7,32,34,35,48,49,23,,1,5,3,3,1,0,0,3,2,0,0.00,0,0.00,44.5,73310.00,88.5,9600.00,1751.5,640.00,3135.2,320.00,33932.9,40.00,24618411
20/023,2020-12-04,11,13,19,38,39,41,47,,3,3,5,1,0,3,0,2,1,1,22100500.00,3,537170.00,84.5,50850.00,97,9600.00,3238.5,640.00,3080.5,320.00,57541.7,40.00,33513419
20/022,2020-12-01,24,27,29,31,42,47,22,27,1,5,4,2,0,0,3,1,2,0,0.00,2,894640.00,36,132540.00,104.5,9600.00,1987.5,640.00,2964.7,320.00,41335.4,40.00,33306904
20/021,2020-11-27,5,12,13,23,27,38,39,12,4,2,4,2,1,2,2,1,0,0,0.00,2,649670.00,77.4,44760.00,180.5,9600.00,4096.6,640.00,4418.5,320.00,69587.9,40.00,33465077
20/020,2020-11-24,7,12,16,22,45,47,25,22,4,2,3,3,1,2,1,0,2,0,0.00,1,1802750.00,47,102280.00,144,9600.00,2927.5,640.00,4083.2,320.00,57836,40.00,37190857
20/019,2020-11-20,22,25,30,33,34,43,24,33,1,5,3,3,0,0,3,2,1,1,52526520.00,6.5,515490.00,142.5,62700.00,433.5,9600.00,6653,640.00,10638.2,320.00,119711.9,40.00,76221844
20/018,2020-11-17,13,19,20,21,33,49,45,,4,2,5,1,0,3,1,1,1,0,0.00,3,945850.00,124,61020.00,306.5,9600.00,6664.5,640.00,7925.5,320.00,113656.1,40.00,64959292
20/017,2020-11-13,6,15,17,18,28,47,32,"15,28",4,2,3,3,1,3,1,0,1,0,0.00,2.5,1065440.00,95,74760.00,227,9600.00,4854.5,640.00,6278.8,320.00,92604.5,40.00,56505771
20/016,2020-11-10,13,15,25,28,45,49,24,,2,4,5,1,0,2,2,0,2,0,0.00,2.5,912940.00,84,72450.00,235,9600.00,4551.5,640.00,6080.7,320.00,78003.4,40.00,49917600
20/015,2020-11-06,11,17,35,36,38,40,6,"11,38,40",2,4,3,3,0,2,0,4,0,0,0.00,1,2706510.00,71,101650.00,196.5,9600.00,4054.1,640.00,7024.5,320.00,76561.9,40.00,54850509
20/014,2020-10-29,6,11,33,38,40,43,2,,2,4,3,3,1,1,0,3,1,0.5,5502090.00,3,829780.00,74,89700.00,178.5,9600.00,4412,640.00,5594.4,320.00,84367.7,40.00,51739483
20/013,2020-10-22,1,13,19,24,29,45,26,,4,2,5,1,1,2,2,0,1,0,0.00,1.5,1453390.00,107,54330.00,161,9600.00,4671.9,640.00,4873.9,320.00,81550,40.00,46904829
20/012,2020-10-15,9,26,28,33,38,46,44,"28,33",1,5,2,4,1,0,2,2,1,0,0.00,2,683380.00,54,67490.00,153.5,9600.00,3239.6,640.00,3705,320.00,56959.1,40.00,31525574
20/011,2020-10-08,21,28,33,34,40,47,49,"21,28",1,5,3,3,0,0,2,3,1,1,16196490.00,1,2216100.00,58,101880.00,117.5,9600.00,2416.5,640.00,3921.5,320.00,48896.3,40.00,40963844
20/010,2020-09-29,9,21,26,27,28,48,45,26,2,4,3,3,1,0,4,0,1,0,0.00,0,0.00,44.5,92770.00,83.5,9600.00,3026.2,640.00,2792,320.00,56603.4,40.00,31922174
20/009,2020-09-24,11,24,26,35,42,44,20,,2,4,2,4,0,1,2,1,2,1,8000000.00,1,2353760.00,62.5,100420.00,134,9600.00,3159.1,640.00,4359,320.00,62018.4,40.00,45236174
20/008,2020-02-01,3,5,30,31,43,48,13,,2,4,4,2,2,0,1,1,2,1.5,38895010.00,5,1356160.00,225.5,80180.00,746.5,9600.00,12442.5,640.00,20421,320.00,239830.4,40.00,149877805
20/007,2020-01-23,2,11,13,45,46,49,42,11,3,3,4,2,1,2,0,0,3,0,0.00,1.5,1932270.00,72.5,106600.00,195.5,9600.00,4135.5,640.00,5240,320.00,83056.3,40.00,56956207
20/006,2020-01-21,11,14,21,28,37,44,36,,3,3,3,3,0,2,2,1,1,0,0.00,4,624040.00,78,85330.00,208,9600.00,4479,640.00,5050.6,320.00,85123.8,40.00,52169435
20/005,2020-01-18,18,29,32,33,36,40,38,32,1,5,2,4,0,1,1,4,0,0,0.00,3,607520.00,48,101250.00,176.5,9600.00,2891.6,640.00,4765.4,320.00,53950.9,40.00,38111373
20/004,2020-01-16,2,20,24,30,32,46,1,,3,3,0,6,1,1,2,1,1,2,65041090.00,7.5,1520900.00,401,75850.00,1139,9600.00,22665.7,640.00,34455.1,320.00,411196.4,40.00,252741025
20/003,2020-01-12,5,17,35,37,42,49,39,37,2,4,5,1,1,1,0,2,2,0,0.00,6.5,1193790.00,212,97600.00,553.5,9600.00,11671,640.00,16557.2,320.00,226151.2,40.00,155508613
20/002,2020-01-07,1,24,25,27,31,37,8,37,2,4,5,1,1,0,3,2,0,0,0.00,4.5,1327140.00,188.5,84480.00,516,9600.00,11376.6,640.00,15982.7,320.00,204804.9,40.00,128320773
20/001,2020-01-02,15,17,29,30,34,37,40,,2,4,4,2,0,2,2,2,0,0,0.00,6,925910.00,184.5,80290.00,396.5,9600.00,8680.5,640.00,12376,320.00,166014.5,40.00,112337702
19/144,2019-12-31,5,10,18,20,28,33,17,,4,2,2,4,2,2,1,1,0,0,0.00,1.5,1029510.00,99.5,41380.00,224.5,9600.00,5415.3,640.00,5874.8,320.00,89202.8,40.00,41448970
19/143,2019-12-28,1,22,25,27,31,36,47,,2,4,4,2,1,0,3,2,0,1,8000000.00,2,1042650.00,50,111210.00,149,9600.00,3499.2,640.00,4142.5,320.00,68299.9,40.00,42600865
19/142,2019-12-24,5,11,14,23,30,32,20,11,4,2,3,3,1,2,2,1,0,1,30307270.00,2,1239740.00,129.4,51090.00,280.5,9600.00,5637.3,640.00,7323.6,320.00,94437,40.00,56641726
19/141,2019-12-22,11,22,24,26,41,42,2,"22,24",3,3,2,4,0,1,3,0,2,0,0.00,3,832790.00,74.5,89420.00,229.5,9600.00,4017,640.00,6521.7,320.00,77461.2,40.00,52338095
19/140,2019-12-19,22,24,28,31,35,39,12,,2,4,3,3,0,0,3,3,0,0,0.00,0.5,526687.50,61,92090.00,172.7,9600.00,3193.5,640.00,5476.1,320.00,60807,40.00,43186166
19/139,2019-12-17,3,20,23,30,34,41,47,,3,3,3,3,1,1,2,1,1,0,0.00,1,1987590.00,42.5,124710.00,122,9600.00,2909.1,640.00,3478.5,320.00,61235.1,40.00,39179095
19/138,2019-12-14,2,4,6,8,28,29,5,6,4,2,1,5,4,0,2,0,0,5.5,6886530.00,22,39520.00,478,19200.00,1384.2,9600.00,12944.3,640.00,21544.3,320.00,138949.1,40.00,64385671
19/137,2019-12-12,6,21,32,35,39,49,15,"6,35",2,4,4,2,1,0,1,3,1,0,0.00,1,3103360.00,71,116550.00,202,9600.00,4307.1,640.00,5572.9,320.00,81581.5,40.00,60143755
19/136,2019-12-10,5,6,11,12,28,35,17,,4,2,3,3,2,2,1,1,0,0,0.00,4.5,390300.00,185.5,25240.00,432,9600.00,8426.2,640.00,9561.2,320.00,126861.4,40.00,56557805
19/135,2019-12-07,14,25,26,30,32,47,4,,1,5,2,4,0,1,3,1,1,0,0.00,0,0.00,58,103250.00,173.7,9600.00,3288,640.00,4701.6,320.00,62208.9,40.00,44848278
19/134,2019-12-05,2,6,8,16,23,31,1,23,5,1,2,4,3,1,1,1,0,0,0.00,2.5,493950.00,110,29930.00,458,9600.00,5823,640.00,10917.1,320.00,88822.5,40.00,41883295
19/133,2019-12-03,1,15,23,29,45,47,6,1,3,3,6,0,1,1,2,0,2,0,0.00,2,953390.00,42.5,119640.00,159.5,9600.00,3112,640.00,4423.1,320.00,55792.6,40.00,39146475
19/132,2019-11-30,1,10,18,24,40,49,7,,4,2,2,4,2,1,1,1,1,1,28543660.00,9.5,175040.00,214,20720.00,553,9600.00,8994.2,640.00,12034.7,320.00,113770.4,40.00,56401001
19/131,2019-11-28,22,23,29,36,41,44,2,,2,4,3,3,0,0,3,1,2,0.5,11777440.00,1.5,2305310.00,136.5,67550.00,255,9600.00,6352.4,640.00,7980.9,320.00,113610.4,40.00,72120258
19/130,2019-11-26,5,9,15,25,42,45,38,,3,3,5,1,2,1,1,0,2,0,0.00,4.5,534710.00,233.5,27480.00,352.7,9600.00,9915.3,640.00,7140.5,320.00,103700.1,40.00,62579159
19/129,2019-11-24,1,20,28,30,35,46,15,35,2,4,2,4,1,1,2,1,1,0,0.00,2,1407040.00,61,123020.00,181.5,9600.00,4116.4,640.00,6062.9,320.00,86194.7,40.00,56260824
19/128,2019-11-21,3,4,5,10,35,38,7,4,4,2,3,3,4,0,0,2,0,0,0.00,3,533830.00,79.5,53710.00,445,9600.00,5570.7,640.00,11547.2,320.00,96063.4,40.00,50199159
19/127,2019-11-19,1,4,12,13,24,42,48,,5,1,2,4,2,2,1,0,1,0,0.00,2.5,705850.00,115,40910.00,208.5,9600.00,6015.1,640.00,5548.5,320.00,95996.8,40.00,45174770
19/126,2019-11-16,10,23,28,39,44,47,13,,2,4,3,3,1,0,2,1,2,0.5,5488237.50,1,2174440.00,58.5,99120.00,207.5,9600.00,3347.5,640.00,4956.2,320.00,63369,40.00,44787343
19/125,2019-11-14,2,3,13,18,31,49,14,"18,31",4,2,4,2,2,2,0,1,1,0,0.00,1,2170210.00,76.5,75650.00,163,9600.00,3962.9,640.00,5082.1,320.00,78414.7,40.00,45857254
19/124,2019-11-10,6,17,18,23,31,46,44,,4,2,3,3,1,2,1,1,1,0,0.00,0.5,459487.50,47,104280.00,127.5,9600.00,2845.4,640.00,3285,320.00,56474.9,40.00,36703959
19/123,2019-11-07,7,20,30,33,34,44,46,30,2,4,2,4,1,1,1,2,1,3,45319750.00,8,1562200.00,473.5,70380.00,1126,9600.00,25307.7,640.00,29895.5,320.00,444800,40.00,270227069
19/122,2019-11-02,13,15,25,30,40,46,26,13,2,4,3,3,0,2,2,1,1,0,0.00,9,841640.00,210,96180.00,571.5,9600.00,11795.2,640.00,16433.1,320.00,217457.9,40.00,152750657
19/121,2019-10-29,2,10,13,19,20,24,17,24,6,0,2,4,2,3,1,0,0,0,0.00,6,874550.00,310.5,45060.00,720.9,9600.00,16501.5,640.00,16631.7,320.00,251547.9,40.00,132051302
19/120,2019-10-26,1,17,24,30,40,49,48,,3,3,3,3,1,1,2,1,1,1,16070680.00,4.5,423830.00,64,79460.00,201.5,9600.00,4227.5,640.00,5955.5,320.00,67017.6,40.00,42961269
19/119,2019-10-24,7,10,16,23,27,34,24,,4,2,3,3,2,1,2,1,0,0.5,5174450.00,3.5,579800.00,103,52530.00,232.5,9600.00,5314.8,640.00,7698,320.00,92147,40.00,49350847
19/118,2019-10-22,1,6,11,31,41,47,32,"1,6",3,3,5,1,2,1,0,1,2,0,0.00,1,1932660.00,234,22020.00,194,9600.00,6866.2,640.00,4515.2,320.00,78710.4,40.00,46312559
19/117,2019-10-19,1,6,19,22,42,44,25,19,4,2,2,4,2,1,1,0,2,0,0.00,0.5,405937.50,59.5,72770.00,105,9600.00,3118.2,640.00,3380.2,320.00,60394.3,40.00,34067945
19/116,2019-10-17,14,18,19,21,45,47,49,,4,2,4,2,0,3,1,0,2,2,42731540.00,6,1061030.00,181.5,93530.00,460.5,9600.00,8943,640.00,14380.5,320.00,176372.4,40.00,126740567
19/115,2019-10-13,10,16,27,29,37,42,44,,2,4,3,3,1,1,2,1,1,0,0.00,4.5,1130870.00,147,92310.00,359,9600.00,7660.2,640.00,10131.5,320.00,149952.6,40.00,101612510
19/114,2019-10-08,13,23,35,36,43,47,16,13,2,4,5,1,0,1,1,2,2,0,0.00,2,1727070.00,149,61810.00,367,9600.00,7905.2,640.00,10131,320.00,130838,40.00,78450179
19/113,2019-10-03,1,12,13,15,19,45,44,,5,1,5,1,1,4,0,0,1,0,0.00,3.5,885170.00,127,65050.00,279.5,9600.00,7582.6,640.00,7903,320.00,132549.3,40.00,70488672
19/112,2019-09-29,2,3,7,10,18,48,33,"2,3",5,1,2,4,4,1,0,0,1,0,0.00,1.5,1506440.00,156.5,38500.00,294.5,9600.00,7560.6,640.00,7980.2,320.00,126021.5,40.00,58916367
19/111,2019-09-26,2,3,11,20,27,46,4,46,4,2,3,3,2,2,1,0,1,0,0.00,5,435610.00,78,74460.00,285.5,9600.00,4469.1,640.00,7859.8,320.00,79701.8,40.00,50482820
19/110,2019-09-24,6,17,44,45,46,49,41,44,2,4,3,3,1,1,0,0,4,0,0.00,0,0.00,50.5,107760.00,201,9600.00,4264.5,640.00,4775,320.00,62833,40.00,43799501
19/109,2019-09-22,3,28,39,40,42,44,37,"39,42,44",1,5,2,4,1,0,1,2,2,0,0.00,0,0.00,49,106880.00,106.5,9600.00,2369,640.00,2913.6,320.00,46540.2,40.00,36520954
19/108,2019-09-19,8,17,34,39,42,44,7,,2,4,2,4,1,1,0,2,2,1.5,9528260.00,1,2097460.00,66.5,84100.00,173.5,9600.00,3340,640.00,4834.4,320.00,62998.9,40.00,43030039
19/107,2019-09-17,12,20,22,26,30,36,2,12,3,3,0,6,0,2,3,1,0,0,0.00,4.5,340800.00,87.5,46730.00,260.7,9600.00,4119,640.00,6130.5,320.00,68394.4,40.00,39022038
19/106,2019-09-14,1,4,7,12,19,28,43,,5,1,3,3,3,2,1,0,0,2.5,3200000.00,0.5,46335.00,291.7,19200.00,163,9600.00,8705.9,640.00,3876.5,320.00,98209.9,40.00,34151015
19/105,2019-09-12,5,23,24,25,31,33,7,,3,3,5,1,1,0,3,2,0,1,51826970.00,1.5,2463080.00,176.5,55820.00,428.5,9600.00,8543.6,640.00,11896.6,320.00,146997.9,40.00,85805994
19/104,2019-09-10,11,12,13,28,43,49,47,"12,43",3,3,4,2,0,3,1,0,2,0.5,20371540.00,7,1023150.00,293.5,65070.00,774.5,9600.00,14966.5,640.00,17831.5,320.00,274788.1,40.00,159593779
19/103,2019-09-07,7,8,12,25,43,45,13,,3,3,4,2,2,1,1,0,2,0,0.00,3,411060.00,58.5,56210.00,245,9600.00,3992.7,640.00,5865.6,320.00,71088.5,40.00,34559909
19/102,2019-09-05,3,4,18,29,41,44,39,,3,3,3,3,2,1,1,0,2,1,38053270.00,1,2836580.00,75,100850.00,175,9600.00,4278,640.00,5045.2,320.00,84613.8,40.00,55921774
