,Values
0,0.2681831039920772
1,0.09035051900837876
2,5.698952613085864e-05
3,0.020828234388262323
4,0.13815061261639425
5,0.008349320171549091
6,0.0018111252423240578
7,0.005691482363701911
8,0.044303708279039226
9,0.14220282935786618
10,0.04765675429647326
11,0.11621405446993155
12,0.10843279521218642
13,0.007768471075684758
