,HorseName,HorseName_cn,Jockey,Trainer,Score
2,PACKING PHOENIX,包裝戰將,Z Purton,K W Lui,0.6496363165363058
6,PROUD BOX,洪才,H Bowman,W Y So,0.18430153423271342
0,SPICY STANDARD,辣得準,B Avdulla,J Size,0.062432398229317766
