horse_no,win,place
1,49,11
2,10,3.5
3,6.2,2.3
4,2.7,1.1
5,8.9,3.4
6,8.6,3.4
7,28,7.4
8,11,3.1
9,34,6.4
10,34,8.6
11,9.3,2.7
12,15,4.5
