,HorseName,Score
0,LEGION OF MERIT,0.06726323006723835
1,NINJA DERBY,0.026230127277808313
2,M M NEBULA,0.46204955422327043
3,NICE BIRDIE,0.3567475049281198
4,HAPPY HERO,0.1666188130487225
5,SUPERB MOVE,0.2833562458321855
6,LEATHER MASTER,0.023052424679855996
7,PRECISION GOAL,0.05156105534467856
8,ANGELS HUNTER,0.10860194542273202
9,BROTHER PEARL,0.047871823822724015
10,GREEN LASER,0.11252699448900319
11,JOYFUL CHAMPION,0.18486900496885886
12,SUPER HORNET,0.02115278478145466
13,MISTER ARM,0.053056877475677035
