,HorseName,Score
0,FRANTANCK,0.27485141001539054
1,FLAGSHIP WARRIOR,0.326766634621896
2,HUGE WAVE,0.24650764050396373
3,SUMMIT IMPACT,0.011825781906991076
4,HOLY LAKE,0.6242265258505557
5,STAR CONTACT,0.24726657976874958
6,BEATO,0.2730938880310076
7,LOYAL BO BO,0.1996288548951021
8,SUNSTRIDER,0.12269594775010899
9,ACCOLADE START,0.010758645203627428
10,BRIGHT INHERITANCE,0.02990915598717437
11,POWERFUL WINGS,0.20726008583480787
12,WINNING DATA,0.63253859621664
13,TALENTS AMBITION,0.018081845795696442
