horse_no,win,place
1,10,2.7
2,17,4.6
3,13,3.9
4,7.0,2.4
5,29,6.5
6,99,22
7,8.2,3.0
8,125,28
9,4.5,1.8
10,4.8,1.8
11,12,3.3
12,6.2,2.3
