Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/10/19,1,BRILLIANT EXPRESS,神馳,H Bowman,布文,135,1149,5,J Size,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,21,1,PPG,80,1037,5
1,2025/10/19,2,FLYING FORTRESS,非凡豪傑,H Bentley,班德禮,130,1034,4,W K Mo,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,21,1,PP,75,1063,5
2,2025/10/19,3,EVERYONE'S STAR,大眾福星,Z Purton,潘頓,127,1096,10,F C Lor,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,141,0,PP,72,1074,5
3,2025/10/19,4,GRACIOUS EXPRESS,駿奕快車,M F Poon,潘明輝,127,1142,14,P F Yiu,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,11,1,PP,72,1075,5
4,2025/10/19,5,HAROLD WIN,哈羅威,C L Chau,周俊樂 (-2),124,1122,2,K W Lui,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,18,2,PPG,69,1095,5
5,2025/10/19,6,MASK RIDER,假面騎士,M Chadwick,蔡明紹,124,1130,3,W Y So,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,35,1,PP,69,1098,5
6,2025/10/19,7,GHORGAN,確好勁,K C Leung,梁家俊,123,1094,9,K L Man,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,21,1,PP,68,365,4
7,2025/10/19,8,NEARLY FINE,寶賢得得,C Y Ho,何澤堯,122,1136,12,C Fownes,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,312,0,PP,67,1759,8
8,2025/10/19,9,OUTGATE,亞機拉,Y L Chung,鍾易禮 (-2),122,1066,13,A S Cruz,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,18,2,PP,67,1493,6
9,2025/10/19,10,RIDING TOGETHER,同心同樂,A Atzeni,艾兆禮,119,1161,8,D Eustace,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,98,0,PP,64,478,4
10,2025/10/19,11,SMART AVENUE,榮駿大道,K Teetan,田泰安,119,1092,6,C H Yip,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,110,0,PP,64,481,4
11,2025/10/19,12,STAR MAC,久久為尊,R Kingscote,金誠剛,118,1210,7,D A Hayes,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,102,0,PP,63,1503,6
12,2025/10/19,13,KINGDOM OF RICHES,龍之邦,M L Yeung,楊明綸,117,1184,1,C S Shum,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,28,2,PP,62,499,4
13,2025/10/19,14,THOUSAND SPIRIT,千杯不醉,L Hewitson,希威森,116,1025,11,M Newnham,10,Class 3,1400,Sha Tin,"Turf, ""C+3"" Course",Good,17:20,28,1,PP,61,525,4
