,HorseName,HorseName_cn,Jockey,Trainer,Score
2,BEAUTY VIVA,爆出美麗,Z Purton,A S Cruz,0.354680282340686
0,SHARPEN BRIGHT,一支箭,M F Poon,D J Hall,0.11329333236822814
5,FOREVER FOLKS,年年友福,K Teetan,C S Shum,0.08568036022553206
