,HorseName,HorseName_cn,Jockey,Trainer,Score
2,VICTORY CHAMPION,凱旋王者,Z Purton,F C Lor,0.48868061757744896
8,SMART FAT CAT,天蓬貓,K Teetan,W K Mo,0.16526980636214705
5,STRANGE ALERT,如蝶翩翩,H Bowman,D Eustace,0.12986769475786084
