,HorseName,HorseName_cn,Jockey,Trainer,Score
0,A AMERIC TE SPECSO,有財有勢,A Atzeni,J Size,0.31793687451886066
1,EXCELLENCE VALUE,星價,H Bentley,M Newnham,0.527328714395689
2,NOBLE PURSUIT,大千氣象,L Ferraris,C Fownes,0.3202463433410316
3,DEFINITIVE,時時精準,K Teetan,D Eustace,0.33872209391839875
4,KING OF FIGHTERS,佛亮老撾,Z Purton,A S Cruz,0.37490377213240955
5,PRESTIGE ALWAYS,盈妍威楓,K C Leung,P C Ng,0.09545804464973057
6,STELLAR SWIFT,紫荊歡呼,H Bowman,D A Hayes,0.2802155504234026
7,LUCKY TOUCH,勝意,A Badel,J Richards,0.2802155504234026
8,SAMARKAND,建測羣英,L Hewitson,D A Hayes,0.37644341801385683
9,SURE JOYFUL,得意佳作,J Orman,P F Yiu,0.25327174749807546
10,WUKONG JEWELLERY,首飾悟空,B Thompson,J Size,0.09930715935334873
11,FAST SPEED,勁步速,H T Mo,C S Shum,0.07929176289453425
