,HorseName,HorseName_cn,Jockey,Trainer,Score
5,MY WISH,祝願,A Badel,M Newnham,0.5115278502978962
0,VOYAGE BUBBLE,遨遊氣泡,M F Poon,P F Yiu,0.24927123822617328
7,HAPPY TOGETHER,越駿歡欣,K Teetan,F C Lor,0.09137923104192526
