,HorseName,Score
0,SPLENDID STAR,0.246562108199829
1,HORSE OF GOOD LUCK,0.24391207377561236
2,DRAGON PRIDE,0.2462925864598514
3,HAPPY HERO,0.2463070065411485
4,M M NEBULA,0.24632229692618807
5,COLOURFUL BARON,0.24719252194233338
6,LEATHER MASTER,0.24631390863843725
7,FASTPASS,0.246303225307155
8,ARTHUR'S KINGDOM,0.24066443361610493
9,COPARTNER ERA,0.24626842289760603
10,SMART BEAUTY,0.24572946937033197
11,GREEN LASER,0.24381110772782255
12,STAR OF GLORY,0.24620689822127073
13,JOYFUL CHAMPION,0.24157490471366302
