,HorseName,Score
0,SPLENDID STAR,0.4362324508435597
1,HORSE OF GOOD LUCK,0.0352570210022523
2,DRAGON PRIDE,0.1290767776480187
3,HAPPY HERO,0.12304705799904639
4,M M NEBULA,0.28905380679728365
5,COLOURFUL BARON,0.4429312183269475
6,LEATHER MASTER,0.0676115363565552
7,FASTPASS,0.07213578280470406
8,ARTHUR'S KINGDOM,0.04694822142286745
9,COPARTNER ERA,0.0781266984235246
10,SMART BEAUTY,0.10959012710050663
11,GREEN LASER,0.11310626749497152
12,STAR OF GLORY,0.13859652189308178
13,JOYFUL CHAMPION,0.09625026918723728
