,HorseName,Score
0,KA YING WARRIOR,0.1766418423594625
1,SUGAR BALL,0.024091491267621327
2,DEAL COMPLETED,0.33742534914751554
3,FIRST LOVE,0.5397936045448475
4,LUCKY GENERATIONS,0.4534393545141943
5,PACKING ANGEL,0.24614491137367625
6,VIEW OF THE WORLD,0.1569419758970605
7,X FACTOR,0.11145515342674861
8,YOU'REMYEVERYTHING,0.16020092400522654
9,FUNG,0.01770998620972173
10,FUN N GLORY,0.018025798394959935
11,HAPPY FOR ALL,0.2907980575385291
12,OMAKASE,0.16494975860000907
13,LORD OF THE ROSE,0.2579932691274329
