,HorseName,HorseName_cn,Jockey,Trainer,Score
4,BEAUTY BOLT,美麗星晨,Z Purton,A S Cruz,0.8728636535611998
7,WINNING WING,天將龍駒,H T Mo,K W Lui,0.018886272929662384
9,ENDEARED,安泰,A Badel,J Size,0.017875642186852097
