,HorseName,HorseName_cn,Jockey,Trainer,Score
0,SUPREME AGILITY,奮鬥心,J Orman,P C Ng,0.21401077752117012
1,CAPITAL LEGEND,川河首駒,A Atzeni,C Fownes,0.2517321016166282
2,WROTE A NEW PAGE,龍文鞭影,H Bentley,C S Shum,0.3964588144726713
3,CAN'T GO WONG,獎星,M F Poon,F C Lor,0.16859122401847576
4,SETANTA,駟跑得,L Ferraris,M Newnham,0.42340261739799845
5,AMAZING GAZE,凝妙星,H Bowman,D A Hayes,0.27713625866050806
6,CALIFORNIA MOXIE,加州活力,Y L Chung,A S Cruz,0.16320246343341033
7,FLOOF,歡樂老撾,M Chadwick,P F Yiu,0.27559661277906083
8,TO INFINITY,極速滿貫,L Hewitson,J Richards,0.13240954580446498
9,ZETTA FORCE,小皇爺,C L Chau,T P Yung,0.1170130869899923
10,CHILL MASTER,輕鬆大少,A Hamelin,K L Man,0.1285604311008468
11,JUMBO FORTUNE,連連歡呼,K Teetan,D Eustace,0.5327174749807544
