Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/10/19,1,CHATEAUNEUF,飲杯,H Bowman,布文,135,1229,5,D A Hayes,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,15,1,PPG,80,1038,5
1,2025/10/19,2,PATCH OF STARS,錶之星河,Z Purton,潘頓,134,1179,1,K L Man,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,42,1,PPG,79,302,4
2,2025/10/19,3,SAVVY BRILLIANT,耀寶,A Atzeni,艾兆禮,132,1135,8,F C Lor,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,110,0,PP,77,1054,5
3,2025/10/19,4,INFINITE RESOLVE,晒冷,L Ferraris,霍宏聲,128,1092,2,M Newnham,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,15,2,PP,73,326,4
4,2025/10/19,5,STAR RISE,久久為昇,M F Poon,潘明輝,127,1038,4,D J Hall,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,21,1,PP,72,341,4
5,2025/10/19,6,SKY JOY,天賜喜,C L Chau,周俊樂 (-2),122,1184,10,P F Yiu,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,273,0,PPG,67,387,4
6,2025/10/19,7,WOLF COMING,狼來了,R Kingscote,金誠剛,121,1133,11,C S Shum,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,165,0,PP,66,38,3
7,2025/10/19,8,ALL TOO BRAVE,見義勇為,A Badel,巴度,120,1117,6,J Richards,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,300,0,PP,65,405,4
8,2025/10/19,9,STAR SATYR,久久為軍,Y L Chung,鍾易禮 (-2),120,1109,7,A S Cruz,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,15,2,PP,65,434,4
9,2025/10/19,10,COPARTNER FLEET,合夥飛馳,K Teetan,田泰安,117,1090,12,K W Lui,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,21,1,PPG,62,497,4
10,2025/10/19,11,LIGHT YEARS GLORY,光年程祥,M Chadwick,蔡明紹,117,1150,3,W K Mo,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,21,1,PPG,62,56,3
11,2025/10/19,12,HEALTHY HEALTHY,添開心,H Bentley,班德禮,116,1189,9,P C Ng,10,Class 3,1200,Sha Tin,"Turf, ""C+3"" Course",Good,16:45,15,2,PPG,61,1510,6
