,HorseName,Score
0,FOOLISH HEART,0.24585934478509608
1,JUMBO FORTUNE,0.24584152246045407
2,SUGAR BALL,0.24585017641614357
3,THE ABSOLUTE,0.24582536770077404
4,SUNLIGHT POWER,0.2459071912463661
5,FAST VICTORY,0.24341913595768652
6,INVINCIBLE LUCKY,0.25590245097692366
7,PERFETTO,0.24489958890843846
8,STORM WINNER,0.24601519275612468
9,VANTASTIC CHOICE,0.24588990817072645
10,LUCKY GOLD,0.244694687959346
11,SUPER WISE DRAGON,0.2423364248642299
12,COOL BLUE,0.24412305829068168
13,NOBLE WIN,0.24284262982136862
