,HorseName,HorseName_cn,Jockey,Trainer,Score
0,TRIUMPHANT MORE,凱旋升,Z Purton,F C Lor,0.17550405693708426
1,EXUBERANT,財駿,C L Chau,C S Shum,0.08033013335941049
2,GLORY CLOUD,飛雲,H Bowman,C Fownes,0.12558684101980938
3,ORIENTAL SURPRISE,東方魅影,B Thompson,D A Hayes,0.008698022912859035
4,RISING PHOENIX,金滙千帥,M F Poon,D J Hall,0.041578780430612194
5,ROBOT KNIGHT,機械騎士,A Atzeni,P C Ng,0.06934282341806712
6,THE PRIME,質數,L Hewitson,J Richards,0.07396879323515551
7,LOVING VIBES,天下寵兒,C Y Ho,K W Lui,0.08746341876603604
8,VIGOR ELLEEGANT,銳高,M L Yeung,K L Man,0.049466019409982326
9,AFFIRM,綠族威,L Ferraris,P F Yiu,0.11163557974006101
10,SPICY SO SMART,辣得駕勢,M Chadwick,W K Mo,0.10149782848461882
11,FUNG,鋒王,Y L Chung,C W Chang,0.07492770228630363
