,HorseName,HorseName_cn,Jockey,Trainer,Score
0,HUGE WAVE,大浪圖田,H Bentley,K H Ting,0.07655751228077848
1,SILVERY BREEZE,銀亮奔騰,Z Purton,D Eustace,0.0957843245764923
2,EMBRACES,納百川,C L Chau,W K Mo,0.06125559456524061
3,UNIVERSAL HORIZON,陽明天空,C Y Ho,K W Lui,0.11490307335123115
4,SKY HEART,仁心星,H Bowman,C Fownes,0.1596616977294229
5,ENTHRALLED,安可,B Avdulla,J Size,0.055395894691814315
6,FALLON,快路,C Soumillon,A S Cruz,0.05145851249446798
7,PACKING TURBINE,包裝明駒,M Barzalona,P C Ng,0.05776779106900258
8,BLESSED NATION,福祐神州,L Ferraris,D J Whyte,0.057596224273205196
9,STORMI,翠兒威威,M Chadwick,T P Yung,0.05567898713642172
10,NEW FUTURE FOLKS,帥帥友福,B Thompson,C W Chang,0.0042450539687002705
11,PRESTIGE GOOD,盈好威楓,M F Poon,P F Yiu,0.07473194341233062
12,LEGEND ST PAUL'S,保羅傳奇,K C Leung,F C Lor,0.10425598636129606
13,FORTUNE SUPERSTAR,發財鴻星,A Badel,M Newnham,0.030707404089595818
