,HorseName,HorseName_cn,Jockey,Trainer,Score
0,CHARMING BABE,輕功猛男,J Orman,P F Yiu,0.3695150115473441
1,NATURAL HIGH,贏得自然,K Teetan,D J Hall,0.31100846805234794
2,HEROIC MASTER,英雄豪邁,L Ferraris,F C Lor,0.14549653579676675
3,MONARCH COUNTY,仁仁有餘,H Bowman,C Fownes,0.3887605850654349
4,MY DAY MY WAY,好節拍,C L Chau,C S Shum,0.3094688221709007
5,FORTUNE WARRIOR,運來勇士,A Atzeni,D Eustace,0.2155504234026174
6,NEW POWER,新力,M L Yeung,C W Chang,0.2956120092378753
7,FLYING WROTE,東來欣賞,M F Poon,A S Cruz,0.24788298691301
8,GOLDEN FRIENDSHIP,友得盈,H Bentley,K H Ting,0.20554272517321015
9,TELECOM POWER,電訊驕陽,A Badel,Y S Tsui,0.32255581216320245
10,BLING BLING GENIUS,金鑽精靈,A Hamelin,D J Whyte,0.1562740569668976
11,COLONEL,上校,B Thompson,J Richards,0.1077752117013087
