,HorseName,Score
0,HELIOS EXPRESS,0.8857482899823389
1,HELENE FEELING,0.8859969232451902
2,CHILL CHIBI,0.5669972511889046
3,ENSUED,0.5697131421315825
4,BEAUTY CRESCENT,0.25651229922938307
5,SPEED DRAGON,0.1270975164786773
6,UNBELIEVABLE,0.1270840278499863
7,CHANCHENG GLORY,0.2891782074311408
8,AWESOME FLUKE,0.15566234531445658
9,ELLIPTICAL,0.07356842251451548
10,KA YING GENERATION,0.22357815978832987
11,FALLON,0.22334373247952327
12,SIMPLY MAVERICK,0.45211578977035255
13,STAR MAC,0.43567955156953336
