,HorseName,HorseName_cn,Jockey,Trainer,Score
0,FUN ELITE,中環精英,Z Purton,T P Yung,0.4195535026943803
1,FLYING TING LOK,螢影飛馳,A Atzeni,K L Man,0.10700538876058506
2,SUPER LOVE,戀愛狂,C L Chau,C H Yip,0.3156274056966898
3,THUNDER PRINCE,雷神太保,H Bowman,W Y So,0.2763664357197845
4,WRITTEN CASA,領航財子,K Teetan,J Richards,0.21016166281755197
5,AMAZING VICTORY,縱橫天下,J Orman,C W Chang,0.18937644341801385
6,VICTOR THE RAPID,維港激流,L Ferraris,P C Ng,0.1147036181678214
7,LUCKY KING,開運王,K C Leung,W K Mo,0.1447267128560431
8,GLORY CLOUD,飛雲,H Bentley,C Fownes,0.21016166281755197
9,VULCANUS,星火燎原,K De Melo,Y S Tsui,0.4334103156274057
10,WINNING MONEY,紅錢到,L Hewitson,K W Lui,0.3464203233256351
11,SUPER CHARIZZARD,超勁火力,A Badel,M Newnham,0.26712856043110084
