,HorseName,HorseName_cn,Jockey,Trainer,Score
4,ROBOT LUCKY STAR,官金騏,Z Purton,K L Man,0.426158778434454
3,PRESTIGE HALL,賢者威楓,H Bowman,D J Hall,0.23482407809574093
2,LITTLE MONSTER,小魔怪,C L Chau,W K Mo,0.17756616503724995
