,HorseName,HorseName_cn,Jockey,Trainer,Score
0,ALLCASH,凱明神駒,H Bentley,C S Shum,0.18013856812933027
1,STAR CONTACT,久久為攻,K Teetan,D A Hayes,0.3710546574287914
2,CALIFORNIATOTALITY,加州動員,B Avdulla,A S Cruz,0.3672055427251732
3,LO RIDER,平凡騎士,H Bowman,C Fownes,0.27867590454195534
4,LUPO SOLITARIO,健而快,M L Yeung,F C Lor,0.10161662817551963
5,CHING,晴王,C L Chau,C W Chang,0.17936874518860663
6,PRAY FOR MIR,和平波,M Chadwick,W K Mo,0.201693610469592
7,SILVERY BREEZE,銀亮奔騰,Z Purton,D Eustace,0.5180908391070054
8,ENTHRALLED,安可,A Hamelin,J Size,0.2086220169361047
9,FORTUNATE SON,將義,L Hewitson,D J Whyte,0.19784449576597382
10,PACKING TURBINE,包裝明駒,M F Poon,P C Ng,0.11162432640492687
11,MIDORI GIANT,綠色巨人,A Badel,M Newnham,0.17782909930715934
12,PRESTIGE GOOD,盈好威楓,B Thompson,P F Yiu,0.15088529638183218
13,LEGEND ST PAUL'S,保羅傳奇,Y L Chung,F C Lor,0.3056197074672825
