,HorseName,HorseName_cn,Jockey,Trainer,Score
2,VICTORY CHAMPION,凱旋王者,Z Purton,F C Lor,0.5345268099017767
5,STRANGE ALERT,如蝶翩翩,H Bowman,D Eustace,0.16463249277819653
8,SMART FAT CAT,天蓬貓,K Teetan,W K Mo,0.11008671629120323
