,HorseName,Score
0,BONUS PAL,0.0010114300079521726
1,FLYING MOJITO,0.003924217407298928
2,BEER PALACE,0.0026603309086846833
3,GALLANT CROWN,0.004161138987937603
4,BEATO,0.00829121601865756
5,PRINCE ALEX,0.0018796100768827288
6,ROYAL PRIDE,0.0028622741047845193
7,UP AND UP,0.0009166171455520975
8,CHATEAU,0.0006806576310847594
9,CHILLI BABA,0.0022922078653240703
10,GO GO SIXTEEN,0.002133527793383597
11,JOYFUL PROSPERITY,0.0009366940688639113
12,HORSE OF GOOD LUCK,0.0008478144057705694
13,DRAGON PRIDE,0.0028266184317898104
