,HorseName,HorseName_cn,Jockey,Trainer,Score
5,AESTHETICISM,唯美主義,Z Purton,P C Ng,0.3768576080135452
2,HAMERON,博望坡,R Kingscote,K W Lui,0.2164238300370422
0,M UNICORN,獨角獸,H Bowman,C Fownes,0.14355022077508267
