,HorseName,HorseName_cn,Jockey,Trainer,Score
0,BRIGHT DAY,朗日自強,C Y Ho,K L Man,0.3163972286374134
1,RISING FROM ASHES,自力更生,A Hamelin,C W Chang,0.3317936874518861
2,MAJESTIC EXPRESS,英勇快車,B Avdulla,J Size,0.3418013856812933
3,HONG LOK GOLF,康樂高球,H Bentley,W Y So,0.3002309468822171
4,CALL ME GORGEOUS,龍之光,M Chadwick,K W Lui,0.20477290223248654
5,TRIUMPHANT MORE,凱旋升,Z Purton,F C Lor,0.37952270977675134
6,ALSONSO,展雄威,M F Poon,M Newnham,0.13240954580446498
7,AURIO,志滿同行,L Hewitson,D A Hayes,0.1331793687451886
8,EVERSTAR,廚神,B Thompson,Y S Tsui,0.07082371054657428
9,REZEKI,進傲星,K Teetan,D J Hall,0.24480369515011546
10,BLAZING WIND,熾烈神駒,C L Chau,C S Shum,0.29330254041570436
11,RIGHTEOUS ARION,正氣青驅,Y L Chung,A S Cruz,0.20246343341031564
