,HorseName,HorseName_cn,Jockey,Trainer,Score
0,ATULLIBIGEAL,增有,H Bowman,D J Hall,0.3040800615858353
1,JUMBO LEGEND,銀進,H Bentley,C Fownes,0.14857582755966128
2,YELLOWFIN,黃腳鱲,A Atzeni,K W Lui,0.3325635103926097
3,CALL ME TOPSEED,傲視同群,P N Wong,K L Man,0.10469591993841416
4,POPE CODY,幸運派彩,J Orman,Y S Tsui,0.10623556581986143
5,GREY CHARGER,銀光奔騰,L Ferraris,D Eustace,0.07852193995381063
6,WITHALLMYFAITH,魅力知耀,M L Yeung,D A Hayes,0.06312548113933796
7,FLASH CURRENT,閃光燈,Z Purton,K H Ting,0.5165511932255581
8,MAGNIFICENT NINE,鐵金剛,B Avdulla,J Size,0.3833718244803695
9,MORGAN SUCCESS,龍城精將,L Hewitson,D J Whyte,0.2548113933795227
10,PRESTIGE RICKY,瑞祺威楓,C L Chau,P F Yiu,0.2602001539645881
11,ILLUMINOUS,明亮天下,K Teetan,F C Lor,0.22401847575057737
12,CALIFORNIA BAY,加州勇勝,Y L Chung,A S Cruz,0.1424172440338722
13,FRANTANCK,手到再來,A Hamelin,P C Ng,0.14395688991531946
