,HorseName,HorseName_cn,Jockey,Trainer,Score
2,BEAUTY VIVA,爆出美麗,Z Purton,A S Cruz,0.28719536438594884
5,FOREVER FOLKS,年年友福,K Teetan,C S Shum,0.11364244208003028
0,SHARPEN BRIGHT,一支箭,M F Poon,D J Hall,0.09512397074776714
