,HorseName,HorseName_cn,Jockey,Trainer,Score
0,MEGA BONUS,有鴻利,J Orman,P F Yiu,0.38414164742109314
1,NEVER TOO SOON,快搏,B Avdulla,D J Hall,0.29484218629715164
2,LAHORE,拉合爾,Z Purton,J Richards,0.46266358737490376
3,AMAZING KID,福星小子,B Thompson,J Size,0.1285604311008468
4,CONRAD THE GREAT,勇者無敵,L Ferraris,D J Whyte,0.16551193225558122
5,BITS SUPERSTAR,比特星,C L Chau,P C Ng,0.18090839107005388
6,HONEST WITNESS,可靠大師,H Bowman,D A Hayes,0.31485758275596615
7,SAVVY TWINKLE,亮寶,A Badel,F C Lor,0.35488837567359505
8,ALWAYS MY FOLKS,喆喆友福,K Teetan,C W Chang,0.4149345650500385
9,EXCEED THE WISH,星之願,L Hewitson,M Newnham,0.11085450346420324
10,FLYING AKEED,風林火山,K C Leung,K L Man,0.2040030792917629
11,GOOD PROSPECT,飛黃,A Hamelin,T P Yung,0.13394919168591224
