horse_no,win,place
1,5.4,2.3
2,34,9.1
3,2.9,1.4
4,66,15
5,27,7.3
6,58,12
7,5.7,2.0
8,16,4.3
9,6.0,1.7
10,14,3.6
11,65,13
12,66,16
13,24,5.1
14,20,5.0
