,HorseName,HorseName_cn,Jockey,Trainer,Score
0,GHORGAN,確好勁,K C Leung,K L Man,0.12933025404157045
1,HUGE WAVE,大浪圖田,H Bowman,K H Ting,0.45265588914549654
2,PANACEA,自然動力,J Orman,P F Yiu,0.14780600461893764
3,LIM'S SHAVANO,林家山神,L Hewitson,M Newnham,0.06389530408006158
4,FLYING FORTRESS,非凡豪傑,H Bentley,W K Mo,0.19476520400307928
5,DAZZLING FIT,一定超,L Ferraris,D Eustace,0.4172440338722094
6,SOUTH STAR,南區之星,A Atzeni,F C Lor,0.5927636643571979
7,STAR SATYR,久久為軍,Y L Chung,A S Cruz,0.11932255581216321
8,SUPER EXPRESS,綠野飛馳,B Avdulla,J Size,0.5234795996920708
9,FIGHTING MACHINE,堅闖,M L Yeung,P C Ng,0.20785219399538107
10,LUCKY TWIN STARS,雙星報喜,K Teetan,K W Lui,0.1747498075442648
11,SHAMUS STORM,紫荊拼搏,Z Purton,D A Hayes,0.6581986143187067
12,SOLID CAR,實力加,M F Poon,D J Hall,0.10392609699769054
13,TARGET AUDIENCE,觀眾之力,A Badel,C Fownes,0.12086220169361046
