,HorseName,Score
0,GOKO WIN,0.2626574542804545
1,IMA SINGLE MAN,0.15114812075268777
2,ATOMIC FORCE,0.10715683715923557
3,ENTERPRISE ATTACK,0.2458594756466729
4,COLOURFUL EMPEROR,0.16700025549305225
5,SAKEWIN,0.023160720037074988
6,STAR LINE,0.15716378367272182
7,SUNNY DARLING,0.22989368079508832
8,GORGEOUS WIN,0.850843095296419
9,ORIENTAL SMOKE,0.1481744443743042
10,EIGHTY LIGHT YEARS,0.23210825712052913
11,SHOW RESPECT,0.0999892522472972
12,LAUGH TALE,0.21056684090079317
13,STORM LEGEND,0.20456280016363879
