,HorseName,HorseName_cn,Jockey,Trainer,Score
0,TRIUMPHANT WARRIOR,城中勇士,Z Purton,C S Shum,0.29176289453425713
1,WINNING HEART,三代同心,A Badel,A S Cruz,0.30638953040800615
2,TOGEPI,小刺蛋,H Bentley,W K Mo,0.2455735180908391
3,MODEST GENTLEMAN,謙謙君子,A Atzeni,C H Yip,0.19091608929946113
4,RAGNARR,快樂奇兵,J Orman,D J Hall,0.2825250192455735
5,SUPER EAGLE,宏才,M Chadwick,W Y So,0.1578137028483449
6,SO AWESOME,進優自在,H Bowman,K L Man,0.47421093148575827
7,EVER SMART,有心意,L Ferraris,F C Lor,0.15088529638183218
8,THE PRIME,質數,L Hewitson,J Richards,0.1147036181678214
9,WOODFIRE CHAMP,木火龍駒,K C Leung,C W Chang,0.147036181678214
10,ALMIGHTY KICK,好瑪威威,K De Melo,K W Lui,0.18937644341801385
11,MULTIDARLING,萬事靚,K Teetan,T P Yung,0.39414934565050036
