horse_no,win,place
1,80,17
2,46,11
3,10,3.3
4,18,4.2
5,50,11
6,5.5,1.9
7,10,3.2
8,25,6.6
9,17,4.2
10,6.4,2.1
11,3.6,1.6
12,4.7,1.7
