,HorseName,Score
0,FAST BUCK,0.011256742855339705
1,SUPER LEGENDS,0.0035740476715958296
2,HAPPY FAT CAT,0.007791964781958812
3,MULTISUPER,0.01040531178348995
4,YOUTH POWER,0.0007295672162758367
5,TELECOM DRAGON,0.008298979640722728
6,PATCH OF THETA,0.0020546043355996924
7,RUBY SAILING,0.006231771392523813
8,THE KHAN,0.0019917094777780315
9,CRAZY TREASURE,0.0009033794700387941
10,NEW POWER,0.0019591187835845897
11,HINOKAMI KAGURA,0.0023629243158170203
12,CHAMPION INSTINCT,0.006582136052691076
13,MORE RICE,0.0007417348999586793
