horse_no,win,place
1,15,4.5
2,9.2,3.0
3,21,6.8
4,9.6,3.8
5,17,3.4
6,3.1,1.4
7,5.5,2.0
8,12,3.8
9,33,7.8
10,22,6.1
11,9.2,2.8
12,13,3.4
