,HorseName,HorseName_cn,Jockey,Trainer,Score
5,MY WISH,祝願,A Badel,M Newnham,0.3686213974723077
0,VOYAGE BUBBLE,遨遊氣泡,M F Poon,P F Yiu,0.31666185898190996
10,ENSUED,安騁,A Atzeni,J Size,0.09666025420746897
