,HorseName,Score
0,STARSHIP EIGHTY,0.051932083083914775
1,DIAMOND DIAMOND,0.0756203863687368
2,FASTPASS,0.017351714925473674
3,HAPPY HUNK,0.01981633887887331
4,CHARMANDER,0.07171662741574579
5,ONE HEART ONE,0.14734170225171717
6,ARTHUR'S KINGDOM,0.04387274083625117
7,ANGELS HUNTER,0.05283678839166776
8,BRILLIANT PIONEER,0.015479734574022077
9,BROTHER PEARL,0.015621851261597673
10,GENERAL WINNER,0.059668654323038646
11,EAGLE RUN,0.05728916836094725
12,STAR OF GLORY,0.031239516866462525
13,SMART BEAUTY,0.020251694976751947
