horse_no,win,place
1,5.3,2.1
2,15,5.5
3,12,4.1
4,23,6.5
5,9.4,3.8
6,23,4.0
7,6.8,2.3
8,40,9.5
9,32,8.7
10,34,9.0
11,7.0,3.0
12,10,3.4
13,6.3,2.4
14,16,3.5
