,HorseName,Jockey,Trainer,Score
5,HAPPY TANGO,K Teetan,Y S Tsui,0.3309696162083007
0,MA COMET,Z Purton,J Richards,0.3007202785736946
6,ROARING BEBE,B Avdulla,D J Hall,0.09646318583611865
