,HorseName,Score
0,SUPER SUNNY SING,0.3303870088742766
1,FIVE G PATCH,0.6697463980385138
2,HAPPY TOGETHER,0.5491833052328708
3,RUNNING GLORY,0.2818201252630395
4,CHAMPION DRAGON,0.2897386079760309
5,LA CITY BLANCHE,0.13345955616844696
6,TOURBILLON DIAMOND,0.1983146478034175
7,SPIRITED EXPRESS,0.16875517958087227
8,RISING FROM ASHES,0.18601642598601237
9,ALACRITY,0.5064518039480407
10,THE BEST PEACH,0.34097253011569906
11,C P BRAVE,0.09104510747507381
12,NATURAL STORM,0.18020548768444697
13,SWEET ENCOUNTER,0.07477213598523591
